Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[genetic modification]	Characteristics[stimulus]	Characteristics[genotype]	Characteristics[replicate]	Description	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Protocol REF	Derived Array Data File	Protocol REF	Derived Array Data File	Factor Value[cell type]	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number	Factor Value[replicate]
Sample 1	ERS16170853	SAMEA114190157	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 1	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 1	sequencing assay	ERX11157126	HJNLTBGXB_Sample1.fastq.gz	HJNLTBGXB_Sample1.fastq.gz	ERR11757958	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/058/ERR11757958/ERR11757958.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	2	day	EFO	UO_0000033	Sequence batch 1
Sample 10	ERS16170854	SAMEA114190158	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 10	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 10	sequencing assay	ERX11157127	HJNLTBGXB_Sample10.fastq.gz	HJNLTBGXB_Sample10.fastq.gz	ERR11757959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/059/ERR11757959/ERR11757959.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	2	day	EFO	UO_0000033	Sequence batch 1
Sample 11	ERS16170847	SAMEA114190151	Mus musculus	129 mouse strain	Cas9 TNG MKOS	mouse E12.5	normal	embryonic tissue	mouse embryonic fibroblast	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Mouse embryonic fibroblast	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 11	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 11	sequencing assay	ERX11157120	HJNLTBGXB_Sample11.fastq.gz	HJNLTBGXB_Sample11.fastq.gz	ERR11757952	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/052/ERR11757952/ERR11757952.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	mouse embryonic fibroblast	0	day	EFO	UO_0000033	Sequence batch 1
Sample 12	ERS16170848	SAMEA114190152	Mus musculus	129 mouse strain	Cas9 TNG MKOS	mouse E12.5	normal	embryonic tissue	mouse embryonic fibroblast	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Mouse embryonic fibroblast	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 12	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 12	sequencing assay	ERX11157121	HJNLTBGXB_Sample12.fastq.gz	HJNLTBGXB_Sample12.fastq.gz	ERR11757953	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/053/ERR11757953/ERR11757953.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	mouse embryonic fibroblast	0	day	EFO	UO_0000033	Sequence batch 1
Sample 13	ERS16170855	SAMEA114190159	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 13	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 13	sequencing assay	ERX11157128	HJNLTBGXB_Sample13.fastq.gz	HJNLTBGXB_Sample13.fastq.gz	ERR11757960	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/060/ERR11757960/ERR11757960.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	2	day	EFO	UO_0000033	Sequence batch 1
Sample 14	ERS16170856	SAMEA114190160	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 14	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 14	sequencing assay	ERX11157129	HJNLTBGXB_Sample14.fastq.gz	HJNLTBGXB_Sample14.fastq.gz	ERR11757961	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/061/ERR11757961/ERR11757961.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	4	day	EFO	UO_0000033	Sequence batch 1
Sample 15	ERS16170849	SAMEA114190153	Mus musculus	129 mouse strain	Cas9 TNG MKOS	mouse E12.5	normal	embryonic tissue	mouse embryonic fibroblast	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Mouse embryonic fibroblast	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 15	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 15	sequencing assay	ERX11157122	HJNLTBGXB_Sample15.fastq.gz	HJNLTBGXB_Sample15.fastq.gz	ERR11757954	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/054/ERR11757954/ERR11757954.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	mouse embryonic fibroblast	0	day	EFO	UO_0000033	Sequence batch 1
Sample 16	ERS16170857	SAMEA114190161	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 16	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 16	sequencing assay	ERX11157130	HJNGNBGXB_Sample16.fastq.gz	HJNGNBGXB_Sample16.fastq.gz	ERR11757962	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/062/ERR11757962/ERR11757962.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	4	day	EFO	UO_0000033	Sequence batch 1
Sample 17	ERS16170858	SAMEA114190162	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	BFP overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 17	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 17	sequencing assay	ERX11157131	HJNGNBGXB_Sample17.fastq.gz	HJNGNBGXB_Sample17.fastq.gz	ERR11757963	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/063/ERR11757963/ERR11757963.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	4	day	EFO	UO_0000033	Sequence batch 1
Sample 18	ERS16170859	SAMEA114190163	Mus musculus	129 mouse strain	Cas9 TNG MKOS		normal	embryonic tissue	reprogramming intermediate	Hic2 overexpression	+doxycycline	Nanog-GFP, Rosa-Cas9, Sp3-tetO-MKOS-CAG-rtTA	Sequence batch 1	Reprogramming intermediate	cell	P-MTAB-134829	Meryam Beniazza	P-MTAB-134830	Meryam Beniazza	P-MTAB-134831	EMBL GeneCore	Sample 18	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-134832	EMBL GeneCore	Sample 18	sequencing assay	ERX11157132	HJNGNBGXB_Sample18.fastq.gz	HJNGNBGXB_Sample18.fastq.gz	ERR11757964	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR117/064/ERR11757964/ERR11757964.fastq.gz	P-MTAB-134833	counts2.tsv	P-MTAB-134833	logcounts2.tsv	P-MTAB-134833	normcounts2.tsv	reprogramming intermediate	2	day	EFO	UO_0000033	Sequence batch 1
