	Day2_BFP_Rep1	Day2_BFP_Rep2	Day2_BFP_Rep3	Day2_Hic2_Rep1	Day2_Hic2_Rep2	Day2_Hic2_Rep3	Day4_BFP_Rep1	Day4_BFP_Rep1-2	Day4_BFP_Rep2	Day4_BFP_Rep3	Day4_Hic2_Rep1	Day4_Hic2_Rep1-2	Day4_Hic2_Rep2	Day4_Hic2_Rep3	Day6_BFP_Rep1	Day6_BFP_Rep2	Day6_BFP_Rep3	Day6_Hic2_Rep1	Day6_Hic2_Rep2	Day6_Hic2_Rep3	Day10_BFP_Rep1	Day10_BFP_Rep2	Day10_BFP_Rep3	Day10_Hic2_Rep1	Day10_Hic2_Rep2	Day10_Hic2_Rep3	ESC_BFP_Rep1	ESC_BFP_Rep2	ESC_BFP_Rep3	ESC_Hic2-gRNA_Rep1	ESC_Hic2-gRNA_Rep2	ESC_Hic2-gRNA_Rep3	ESC_Zeo-gRNA_Rep1	ESC_Zeo-gRNA_Rep2	ESC_Zeo-gRNA_Rep3	iPSC_BFP_Rep1	iPSC_BFP_Rep2	iPSC_BFP_Rep3	iPSC_Hic2_Rep1	iPSC_Hic2_Rep2	iPSC_Hic2_Rep3	MEF_BFP_Rep1	MEF_BFP_Rep2	MEF_BFP_Rep3	MEF_Hic2_Rep1	MEF_Hic2_Rep2	MEF_Hic2_Rep3
Gnai3	20900	27492	17748	30443	23845	16117	20163	11070	13600	19959	15473	9920	14639	19955	25833	25553	22478	23596	18392	19462	20533	13412	18538	11330	18797	8506	2456	2020	2558	3666	3064	3696	2716	2465	2323	1900	2189	2462	2537	2055	2144	9517	8688	9282	8424	11414	11350
Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc45	514	698	445	1107	902	639	492	298	565	569	946	648	960	1286	670	767	648	1759	1510	1570	1359	1766	1419	2179	2706	1635	1151	1029	1797	1439	902	1309	1567	1369	1446	1363	1456	1342	1191	1396	1291	534	512	516	695	901	819
H19	1356	3070	930	5056	3865	2560	2401	1428	2487	3556	4285	2657	4705	5934	2237	4041	3626	4401	6021	3316	8277	7496	6075	11020	15831	7363	45	35	507	2	6	2	223	116	102	391	368	36	93	559	418	39993	37073	41004	32342	81585	72227
Scml2	283	412	253	292	261	228	326	158	332	351	213	122	208	283	93	145	140	47	41	31	119	87	110	89	177	71	52	31	71	94	150	134	36	52	39	58	49	61	112	40	75	62	104	76	45	75	97
Apoh	6	12	8	6	8	7	3	2	3	8	3	1	7	11	11	19	23	17	5	6	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	2	0	1
Narf	385	518	337	653	586	383	619	327	345	506	363	208	388	482	350	454	371	546	552	465	863	719	773	992	1251	863	800	705	1000	799	536	778	838	656	658	806	807	844	556	875	816	988	1082	1082	866	1573	1625
Cav2	373	493	281	268	213	144	865	499	410	839	80	56	90	127	1211	955	1046	169	96	56	1009	504	743	186	181	72	0	0	0	5	0	4	0	0	0	0	1	0	0	3	0	1267	1007	1007	374	349	341
Klf6	629	2661	444	1332	2305	734	1934	1006	982	1496	1534	1025	1370	1753	2450	2595	2455	3458	4297	3779	5052	4613	6792	5357	10031	4822	965	821	1089	1451	1434	1607	1017	845	795	860	816	974	1028	882	877	6842	6124	6273	7230	6919	6748
Scmh1	283	458	241	608	428	317	336	193	218	343	287	176	245	386	139	161	240	127	203	224	152	154	160	249	515	190	273	239	372	444	503	466	355	286	314	295	254	295	501	281	273	840	769	897	652	992	1026
