	Day2_BFP_Rep1	Day2_BFP_Rep2	Day2_BFP_Rep3	Day2_Hic2_Rep1	Day2_Hic2_Rep2	Day2_Hic2_Rep3	Day4_BFP_Rep1	Day4_BFP_Rep1-2	Day4_BFP_Rep2	Day4_BFP_Rep3	Day4_Hic2_Rep1	Day4_Hic2_Rep1-2	Day4_Hic2_Rep2	Day4_Hic2_Rep3	Day6_BFP_Rep1	Day6_BFP_Rep2	Day6_BFP_Rep3	Day6_Hic2_Rep1	Day6_Hic2_Rep2	Day6_Hic2_Rep3	Day10_BFP_Rep1	Day10_BFP_Rep2	Day10_BFP_Rep3	Day10_Hic2_Rep1	Day10_Hic2_Rep2	Day10_Hic2_Rep3	ESC_BFP_Rep1	ESC_BFP_Rep2	ESC_BFP_Rep3	ESC_Hic2-gRNA_Rep1	ESC_Hic2-gRNA_Rep2	ESC_Hic2-gRNA_Rep3	ESC_Zeo-gRNA_Rep1	ESC_Zeo-gRNA_Rep2	ESC_Zeo-gRNA_Rep3	iPSC_BFP_Rep1	iPSC_BFP_Rep2	iPSC_BFP_Rep3	iPSC_Hic2_Rep1	iPSC_Hic2_Rep2	iPSC_Hic2_Rep3	MEF_BFP_Rep1	MEF_BFP_Rep2	MEF_BFP_Rep3	MEF_Hic2_Rep1	MEF_Hic2_Rep2	MEF_Hic2_Rep3
Gnai3	19148.62748	18575.50765	18880.72397	18526.16915	17337.38228	16767.3805	15420.09741	15421.43998	13489.51744	14822.24143	13339.05585	13355.5994	12401.27252	13003.91687	23782.3913	19722.58688	19378.32341	16701.21927	15997.19934	16687.62562	14053.75412	12331.30254	14017.35751	9434.8962	11603.20548	9325.988297	3328.146457	2875.426466	3024.87549	4171.316952	3670.853987	4118.03982	3319.512212	3301.836027	3202.046242	2768.583342	3198.598027	3199.568438	3202.361532	3010.133447	3289.367892	9629.193805	9533.564401	9024.109677	9168.036022	8960.451436	8793.520697
Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc45	480.1238161	462.9756387	483.2167508	673.5526835	649.4787278	684.1526215	388.1086683	415.4565046	556.0314379	420.5277229	814.0204469	884.8804842	822.7857942	825.6871597	627.9454506	562.6734652	521.1749686	1255.18892	1281.816955	1312.320912	919.8084868	1605.155949	1010.239945	1824.244825	1659.542948	1742.069425	1615.659159	1480.893186	2190.753704	1661.051335	1087.969585	1466.901721	1915.40579	1879.95842	1963.573234	2031.085386	2149.772125	1787.30735	1520.061113	2066.148754	1970.954005	532.3872711	533.4323321	514.1806876	755.6099213	711.3568337	634.8671317
H19	1304.228271	2144.154062	1006.658722	3268.058561	2994.777542	2761.33541	1901.679968	2089.606087	2629.529064	2671.378041	3821.611463	3747.688788	3987.032135	4077.350674	2024.623067	3374.209191	2946.876961	3256.420231	5211.029567	3010.582883	5715.50797	7179.516933	4727.615203	9508.04944	9750.79416	7676.066465	24.93861565	47.80335441	624.9122121	3.050580516	7.021542093	3.446996337	270.4679338	103.8524405	147.9806244	588.0494056	432.7063095	57.54077889	69.903686	839.3844861	629.737584	41263.84858	41542.30822	41210.56944	36587.17496	66934.67813	58234.07114
Scml2	264.5445821	347.8561242	316.1870956	90.21259532	242.5633952	229.9286154	298.6007434	256.2056607	320.9675382	302.6317067	213.6798748	181.512747	310.9585519	197.6650137	153.2826707	150.1744132	150.302431	119.7785896	25.41806115	54.34010951	48.46975189	61.45797668	101.8088159	112.3137505	92.67492148	108.1012715	59.42600206	25.8730126	50.73669186	79.28640573	209.2528551	106.9356237	24.8022699	43.68698063	27.75121429	87.15064599	78.46440873	60.58609517	107.1012702	33.32246244	70.71624476	83.86290692	85.65597141	99.11631788	74.39615667	75.85971812	96.0838258
Apoh	4.946372713	7.29558002	7.657789655	3.285440834	5.233839596	6.552745139	2.064417086	2.506983789	2.67745995	5.345758251	2.327105343	1.211423335	5.335770031	6.449994741	9.112081275	13.19531636	17.84146827	10.82687032	3.913174597	4.629163851	0	4.136467684	2.041120995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.52016974	0	7.873168267	1.958538763	0	1.360986248
Narf	355.3357851	361.5992517	347.7570388	381.5024369	515.4110904	421.6050345	462.139774	319.3882417	341.5579694	352.0967451	439.5923583	300.973906	498.1568939	314.9066279	226.8195798	694.9133649	187.4382348	575.9574699	396.5467545	154.962115	430.1329877	843.6385146	528.5983331	835.35692	645.565357	1023.763424	1050.016181	996.874479	1299.664603	984.4075126	472.6675552	915.6264517	1184.723014	903.2358274	1085.645665	1173.297573	1276.741766	1259.776512	589.9356143	1330.338171	1420.483474	970.772354	1233.803181	1186.425186	923.4846218	1338.944428	1368.199513
Cav2	295.309645	373.7984283	250.4728578	138.1251818	129.7630157	125.5245387	556.1153191	690.221786	424.4312096	680.7807397	57.78640548	96.79430836	63.88258448	69.3443851	1129.037784	667.4444774	828.2845703	139.3973694	69.96347293	40.23279782	587.867308	506.6792247	611.1154707	200.2473058	93.61666046	126.777506	0	0	0	4.766898034	0	3.734252657	0	0	0	0	1.224331523	0	0	20.55284214	0	1350.029426	1041.566713	1070.776859	451.2519953	229.5633624	225.902609
Klf6	486.2784133	1740.492469	413.2425298	794.5522531	1456.936124	715.5320905	1531.848217	1456.745222	996.664994	1101.858223	1290.833546	1336.423782	1125.207407	1255.226152	2032.753086	2295.430995	2079.880109	2543.86674	3811.668027	2962.845129	3288.468012	4472.204964	5063.004667	3909.011	5849.24538	4814.035748	1433.526596	1388.654827	1278.967301	1673.671794	1924.396678	1814.093873	1515.660427	1108.79864	1287.907463	1512.672609	976.7176218	1450.799351	1393.201082	1498.640097	1465.226477	6546.281259	6025.678141	5760.699308	7742.616964	5175.762914	4606.148976
Scmh1	208.3343151	287.2075717	265.8744404	329.5121891	268.1263707	341.6429336	304.9533386	354.0797829	184.608858	247.9729184	356.8755993	242.5980646	228.7011919	219.9855799	97.82542844	163.7028057	264.4528901	141.5536858	200.8438963	143.5603681	90.17070489	109.8603293	151.4326092	323.9816158	109.3669001	179.6716276	275.7021793	380.8307795	471.3650462	455.3582183	562.2791866	560.1499419	397.8412486	593.8056515	455.9288963	367.9952201	349.4550237	415.9644056	748.2132659	275.2790584	388.6711503	860.5511955	933.0671918	1010.433882	619.2938447	773.319751	960.7920683
