parameter,start_value,lower_bound,upper_bound
alpha_H,5,0,500
alpha_K,50,0,500
alpha_M,50,0,500
alpha_E,1,0,5
alpha_S,1,0,20
alpha_MD,5,0,5
alpha_KD,0.5,0,5
alpha_DD,0.5,0,5
beta_H,5,0,500
beta_K,5,0,500
beta_M,4,0,500
delta_H,10,0.1,50
delta_K,5,0.1,50
delta_M,5,0.1,50
delta_E,5,0.1,50
delta_S,5,0.1,50
delta_D,5,0.1,50
eta_KH,4,1,5
eta_HH,2,1,5
eta_MK,2,1,5
eta_SK,2,1,5
eta_HK,2,1,5
eta_KK,2,1,5
eta_KM,2,1,5
eta_HM,2,1,5
eta_MM,2,1,5
eta_SM,4,1,5
eta_KE,2,1,5
eta_EE,2,1,5
eta_HE,2,1,5
eta_SE,3,1,5
eta_KS,2,1,5
eta_MS,2,1,5
eta_SS,2,1,5
eta_ES,2,1,5
eta_DS,2,1,5
eta_MD,3,1,5
eta_KD,2,1,5
eta_DD,2,1,5
eta_SD,2,1,5
kappa_KH,0.001,0.0001,100
kappa_HH,0.04,0.0001,100
kappa_MK,0.04,0.0001,100
kappa_SK,100,0.01,100000
kappa_HK,4,0.0001,100
kappa_KK,0.04,0.0001,100
kappa_KM,0.04,0.0001,100
kappa_HM,40,0.0001,100
kappa_MM,0.04,0.0001,100
kappa_SM,100000,0.01,100000
kappa_KE,0.4,0.0001,100
kappa_EE,10,0.01,100000
kappa_HE,100,0.0001,100
kappa_SE,100000,0.01,100000
kappa_KS,0.4,0.0001,100
kappa_MS,0.4,0.0001,100
kappa_SS,100,0.01,100000
kappa_ES,200,0.01,100000
kappa_DS,200,0.001,10000
kappa_MD,0.1,0.0001,100
kappa_KD,0.04,0.0001,100
kappa_DD,25,0.001,10000
kappa_SD,100,0.01,100000
sigma_H,0.1,0.01,10
sigma_K,0.1,0.01,10
sigma_M,0.1,0.01,10
sigma_E,0.01,0.0001,0.5
sigma_S,0.02,0.0001,0.5
sigma_D,0.04,0.0001,1
