parameter,start_value,lower_bound,upper_bound
alpha_H,0.2,0.01,1.0
alpha_K,0.2,0.01,1.0
alpha_M,0.2,0.01,1.0
alpha_E,0.2,0.01,1.0
alpha_S,0.2,0.01,1.0
alpha_MD,0.2,0.01,1.0
alpha_DD,0.2,0.01,1.0
beta_H,0.2,0.01,1.0
beta_K,0.2,0.01,1.0
beta_M,0.2,0.01,1.0
delta_H,0.2,0.01,1.0
delta_K,0.2,0.01,1.0
delta_M,0.2,0.01,1.0
delta_E,0.2,0.01,1.0
delta_S,0.2,0.01,1.0
delta_D,0.2,0.01,1.0
eta_KH,2.0,1.0,5.0
eta_HH,2.0,1.0,5.0
eta_MK,2.0,1.0,5.0
eta_SK,2.0,1.0,5.0
eta_HK,2.0,1.0,5.0
eta_KK,2.0,1.0,5.0
eta_KM,2.0,1.0,5.0
eta_HM,2.0,1.0,5.0
eta_MM,2.0,1.0,5.0
eta_SM,2.0,1.0,5.0
eta_KE,2.0,1.0,5.0
eta_EE,2.0,1.0,5.0
eta_HE,2.0,1.0,5.0
eta_SE,2.0,1.0,5.0
eta_KS,2.0,1.0,5.0
eta_MS,2.0,1.0,5.0
eta_SS,2.0,1.0,5.0
eta_ES,2.0,1.0,5.0
eta_DS,2.0,1.0,5.0
eta_MD,2.0,1.0,5.0
eta_HMD,2.0,1.0,5.0
eta_DD,2.0,1.0,5.0
kappa_KH,0.5,0.01,1.5
kappa_HH,0.5,0.01,1.5
kappa_MK,0.5,0.01,1.5
kappa_SK,0.5,0.01,1.5
kappa_HK,0.5,0.01,1.5
kappa_KK,0.5,0.01,1.5
kappa_KM,0.5,0.01,1.5
kappa_HM,0.5,0.01,1.5
kappa_MM,0.5,0.01,1.5
kappa_SM,0.5,0.01,1.5
kappa_KE,0.5,0.01,1.5
kappa_EE,0.5,0.01,1.5
kappa_HE,0.5,0.01,1.5
kappa_SE,0.5,0.01,1.5
kappa_KS,0.5,0.01,1.5
kappa_MS,0.5,0.01,1.5
kappa_SS,0.5,0.01,1.5
kappa_ES,0.5,0.01,1.5
kappa_DS,0.5,0.01,1.5
kappa_MD,0.5,0.01,1.5
kappa_HMD,0.5,0.01,1.5
kappa_DD,0.5,0.01,1.5
sigma_H,0.005,0.001,0.1
sigma_K,0.005,0.001,0.1
sigma_M,0.005,0.001,0.1
sigma_E,0.005,0.001,0.1
sigma_S,0.005,0.001,0.1
sigma_D,0.005,0.001,0.1
